Time,Channel A
(s),(V)

0.00000000,-0.01031526
0.00033334,-0.00219733
0.00066669,-0.02063051
0.00100003,-0.00817896
0.00133338,0.01306192
0.00166672,0.03814813
0.00200006,0.05523850
0.00233341,0.06659139
0.00266675,0.08441420
0.00300010,0.09253212
0.00333344,0.12036500
0.00366678,0.13434250
0.00400013,0.13544110
0.00433347,0.13391520
0.00466682,0.12482070
0.00500016,0.13892020
0.00533350,0.13446450
0.00566685,0.14984590
0.00600019,0.13653980
0.00633354,0.12396620
0.00666688,0.11078220
0.00700022,0.10712000
0.00733357,0.07556383
0.00766691,0.04162725
0.00800026,0.02746666
0.00833360,0.00775170
0.00866694,0.00634785
0.00900029,0.00286874
0.00933363,-0.00256356
0.00966698,-0.02197333
0.01000032,-0.01550340
0.01033366,-0.04760887
0.01066701,-0.01538133
0.01100035,0.00836207
0.01133370,-0.00842311
0.01166704,-0.00555437
0.01200038,0.00793481
0.01233373,0.03814813
0.01266707,0.04705954
0.01300042,0.07971434
0.01333376,0.09271523
0.01366710,0.10644860
0.01400045,0.10675370
0.01433379,0.12402720
0.01466714,0.13605150
0.01500048,0.12176890
0.01533382,0.14154480
0.01566717,0.12103640
0.01600051,0.12201300
0.01633386,0.12292860
0.01666720,0.12311170
0.01700054,0.10260320
0.01733389,0.06549272
0.01766723,0.05401776
0.01800058,0.03100681
0.01833392,0.01770074
0.01866726,-0.00024415
0.01900061,0.00476089
0.01933395,0.00360118
0.01966730,-0.00750755
0.02000064,-0.00140385
0.02033398,0.00238044
0.02066733,-0.00219733
0.02100067,0.00555437
0.02133402,0.01477096
0.02166736,0.04028443
0.02200070,0.03521836
0.02233405,0.06689657
0.02266739,0.06903287
0.02300074,0.09509568
0.02333408,0.10736410
0.02366742,0.11847290
0.02400077,0.14130070
0.02433411,0.13739430
0.02466746,0.11108740
0.02500080,0.14319280
0.02533414,0.12195200
0.02566749,0.12567520
0.02600083,0.12292860
0.02633418,0.12396620
0.02666752,0.10089420
0.02700086,0.08856472
0.02733421,0.06787317
0.02766755,0.04156621
0.02800090,0.02356029
0.02833424,0.01940977
0.02866758,0.00573748
0.02900093,-0.00970489
0.02933427,-0.01269570
0.02966762,-0.02710044
0.03000096,-0.00421155
0.03033430,-0.04632710
0.03066765,-0.01397748
0.03100099,-0.01593066
0.03133434,-0.02026429
0.03166768,-0.00714133
0.03200103,0.01385540
0.03233437,0.02423170
0.03266771,0.05066073
0.03300106,0.06744590
0.03333440,0.09045686
0.03366775,0.09887997
0.03400109,0.11120950
0.03433443,0.14362010
0.03466778,0.11688590
0.03500112,0.13776050
0.03533447,0.12018190
0.03566781,0.12952060
0.03600115,0.12646870
0.03633450,0.12408830
0.03666784,0.10577720
0.03700119,0.09088412
0.03733453,0.07684561
0.03766787,0.04931791
0.03800122,0.04461806
0.03833456,0.02826014
0.03866791,0.01184118
0.03900125,-0.00372326
0.03933459,-0.01452681
0.03966794,-0.02862636
0.04000128,0.00891141
0.04033463,-0.00805689
0.04066797,0.00000000
0.04100131,-0.00604267
0.04133466,0.01501511
0.04166800,0.04107791
0.04200135,0.05279702
0.04233469,0.04968413
0.04266803,0.07879879
0.04300138,0.10693690
0.04333472,0.12237920
0.04366807,0.13306070
0.04400141,0.12842190
0.04433475,0.12689600
0.04466810,0.11804560
0.04500144,0.14014100
0.04533479,0.13452560
0.04566813,0.12945950
0.04600147,0.13824880
0.04633482,0.11279640
0.04666816,0.11987670
0.04700151,0.08941923
0.04733485,0.05798517
0.04766819,0.05236976
0.04800154,0.02673421
0.04833488,0.01355022
0.04866823,-0.00909452
0.04900157,-0.00134281
0.04933491,-0.01116977
0.04966826,-0.00811792
0.05000160,-0.00872829
0.05033495,-0.03454695
0.05066829,-0.00750755
0.05100163,-0.01580859
0.05133498,-0.00732444
0.05166832,0.00189215
0.05200167,0.01709037
0.05233501,0.04242073
0.05266835,0.05920591
0.05300170,0.07220680
0.05333504,0.10687580
0.05366839,0.11658070
0.05400173,0.12207400
0.05433507,0.11529890
0.05466842,0.13391520
0.05500176,0.12878810
0.05533511,0.14734340
0.05566845,0.12414930
0.05600179,0.12909330
0.05633514,0.13232830
0.05666848,0.11310160
0.05700183,0.08923613
0.05733517,0.06994842
