Time,Channel A
(s),(mV)

0.00000000,-38.23969000
0.00033334,-56.26087000
0.00066669,-39.04843000
0.00100003,-40.91006000
0.00133338,-40.51332000
0.00166672,-55.69627000
0.00200006,-36.88161000
0.00233341,-20.20325000
0.00266675,-5.70696100
0.00300010,-5.20340500
0.00333344,7.44651600
0.00366678,18.41792000
0.00400013,27.29881000
0.00433347,28.97732000
0.00466682,44.89273000
0.00500016,61.00650000
0.00533350,68.07153000
0.00566685,63.35643000
0.00600019,74.37360000
0.00633354,68.65138000
0.00666688,74.08367000
0.00700022,66.37775000
0.00733357,49.40947000
0.00766691,34.53169000
0.00800026,22.75155000
0.00833360,4.45570200
0.00866694,-9.20133000
0.00900029,-19.40977000
0.00933363,-36.60695000
0.00966698,-38.95687000
0.01000032,-44.61806000
0.01033366,-51.13376000
0.01066701,-58.65657000
0.01100035,-64.92812000
0.01133370,-47.42576000
0.01166704,-57.35954000
0.01200038,-57.34428000
0.01233373,-38.59065000
0.01266707,-33.63140000
0.01300042,-26.32221000
0.01333376,-18.44844000
0.01366710,7.12607100
0.01400045,30.77791000
0.01433379,42.87850000
0.01466714,40.43702000
0.01500048,55.83361000
0.01533382,78.09686000
0.01566717,76.79983000
0.01600051,66.27094000
0.01633386,71.15390000
0.01666720,66.08783000
0.01700054,66.30146000
0.01733389,55.90990000
0.01766723,47.76146000
0.01800058,24.90310000
0.01833392,3.54014700
0.01866726,-7.59910800
0.01900061,-14.22162000
0.01933395,-17.30400000
0.01966730,-37.26310000
0.02000064,-49.27213000
0.02033398,-51.08798000
0.02066733,-33.64666000
0.02100067,-43.03109000
0.02133402,-48.28028000
0.02166736,-49.31791000
0.02200070,-28.70266000
0.02233405,-19.04355000
0.02266739,-11.12400000
0.02300074,-12.19214000
0.02333408,11.59703000
0.02366742,33.49406000
0.02400077,52.90383000
0.02433411,63.93628000
0.02466746,64.36353000
0.02500080,57.54264000
0.02533414,49.24161000
0.02566749,76.96767000
0.02600083,46.93746000
0.02633418,77.44071000
0.02666752,59.37376000
0.02700086,60.50294000
0.02733421,52.38502000
0.02766755,42.61909000
0.02800090,32.05969000
0.02833424,5.70696100
0.02866758,-14.45051000
0.02900093,-22.50740000
0.02933427,-32.27332000
0.02966762,-45.28947000
0.03000096,-43.73302000
0.03033430,-57.81731000
0.03066765,-56.12354000
0.03100099,-50.29450000
0.03133434,-54.59761000
0.03166768,-57.96991000
0.03200103,-50.32502000
0.03233437,-45.79302000
0.03266771,-53.05643000
0.03300106,-40.23866000
0.03333440,-12.11585000
0.03366775,0.16785180
0.03400109,19.85229000
0.03433443,28.71791000
0.03466778,42.37495000
0.03500112,61.03701000
0.03533447,67.14072000
0.03566781,63.95153000
0.03600115,62.51716000
0.03633450,58.03094000
0.03666784,67.61375000
0.03700119,79.53123000
0.03733453,65.85894000
0.03766787,49.21109000
0.03800122,33.31095000
0.03833456,14.55733000
0.03866791,2.80770300
0.03900125,-0.18311100
0.03933459,-25.51347000
0.03966794,-36.68324000
0.04000128,-41.00161000
0.04033463,-40.55910000
0.04066797,-39.33836000
0.04100131,-48.17347000
0.04133466,-30.38117000
0.04166800,-44.51125000
0.04200135,-36.51539000
0.04233469,-20.99673000
0.04266803,-7.59910800
0.04300138,1.09866600
0.04333472,10.42207000
0.04366807,17.94488000
0.04400141,31.23569000
0.04433475,49.54680000
0.04466810,58.64131000
0.04500144,47.42576000
0.04533479,64.27197000
0.04566813,73.53434000
0.04600147,74.00738000
0.04633482,65.61479000
0.04666816,71.47435000
0.04700151,60.51820000
0.04733485,51.13376000
0.04766819,39.81139000
0.04800154,29.28251000
0.04833488,7.76696000
0.04866823,-2.12103600
0.04900157,-16.95303000
0.04933491,-23.48399000
0.04966826,-41.21524000
0.05000160,-46.18976000
0.05033495,-52.30872000
0.05066829,-61.44901000
0.05100163,-64.80605000
0.05133498,-59.51109000
0.05166832,-57.29850000
0.05200167,-46.93746000
0.05233501,-36.69851000
0.05266835,-32.38013000
0.05300170,-20.96622000
0.05333504,0.65614790
0.05366839,19.71496000
0.05400173,33.05154000
0.05433507,42.90902000
0.05466842,46.15924000
0.05500176,44.86221000
0.05533511,55.51316000
0.05566845,68.60561000
