Time,Channel A
(s),(mV)

0.00000000,74.02264000
0.00033334,55.23850000
0.00066669,41.90191000
0.00100003,34.24176000
0.00133338,18.20429000
0.00166672,-4.08948000
0.00200006,-12.11585000
0.00233341,-29.48088000
0.00266675,-32.05969000
0.00300010,-32.63954000
0.00333344,-51.37791000
0.00366678,-61.05227000
0.00400013,-48.93643000
0.00433347,-68.30042000
0.00466682,-50.95065000
0.00500016,-42.61909000
0.00533350,-45.15213000
0.00566685,-43.91613000
0.00600019,-23.48399000
0.00633354,2.73140600
0.00666688,19.73022000
0.00700022,35.78295000
0.00733357,56.07775000
0.00766691,62.07464000
0.00800026,48.61598000
0.00833360,52.27820000
0.00866694,69.38383000
0.00900029,60.71657000
0.00933363,73.48856000
0.00966698,67.59850000
0.01000032,58.68709000
0.01033366,69.35331000
0.01066701,47.12057000
0.01100035,36.05762000
0.01133370,20.50844000
0.01166704,2.92977700
0.01200038,-7.38547900
0.01233373,-25.51347000
0.01266707,-32.71584000
0.01300042,-42.06976000
0.01333376,-37.72087000
0.01366710,-36.50013000
0.01400045,-45.27421000
0.01433379,-39.13999000
0.01466714,-43.13791000
0.01500048,-22.49214000
0.01533382,-16.22059000
0.01566717,-5.31022000
0.01600051,0.39674060
0.01633386,12.46681000
0.01666720,23.17881000
0.01700054,42.86324000
0.01733389,60.70131000
0.01766723,77.59331000
0.01800058,64.94338000
0.01833392,60.10620000
0.01866726,67.85790000
0.01900061,65.14175000
0.01933395,75.45701000
0.01966730,54.42976000
0.02000064,59.99939000
0.02033398,70.58931000
0.02066733,51.89672000
0.02100067,31.31199000
0.02133402,10.62044000
0.02166736,-8.16370100
0.02200070,-18.31110000
0.02233405,-33.90606000
0.02266739,-46.17450000
0.02300074,-37.87347000
0.02333408,-55.20798000
0.02366742,-46.47969000
0.02400077,-61.28116000
0.02433411,-69.71954000
0.02466746,-40.83376000
0.02500080,-50.81331000
0.02533414,-54.59761000
0.02566749,-57.17642000
0.02600083,-36.01184000
0.02633418,-14.28266000
0.02666752,4.22681300
0.02700086,28.22962000
0.02733421,36.21021000
0.02766755,57.34428000
0.02800090,69.24650000
0.02833424,70.34516000
0.02866758,61.46428000
0.02900093,72.71034000
0.02933427,68.22412000
0.02966762,66.59138000
0.03000096,75.76219000
0.03033430,67.07968000
0.03066765,62.71553000
0.03100099,49.42472000
0.03133434,32.89895000
0.03166768,3.89111000
0.03200103,-13.03140000
0.03233437,-17.21244000
0.03266771,-33.03629000
0.03300106,-46.00665000
0.03333440,-41.35258000
0.03366775,-42.51228000
0.03400109,-32.57851000
0.03433443,-45.99139000
0.03466778,-42.80221000
0.03500112,-33.90606000
0.03533447,-48.23450000
0.03566781,-31.08310000
0.03600115,-14.28266000
0.03633450,5.26444200
0.03666784,6.50044200
0.03700119,38.25495000
0.03733453,59.83154000
0.03766787,52.94961000
0.03800122,64.19568000
0.03833456,49.85198000
0.03866791,68.62086000
0.03900125,66.43879000
0.03933459,65.59953000
0.03966794,69.26176000
0.04000128,57.60368000
0.04033463,54.23139000
0.04066797,47.09006000
0.04100131,29.95392000
0.04133466,22.47688000
0.04166800,0.42725910
0.04200135,-15.28977000
0.04233469,-24.58266000
0.04266803,-31.03732000
0.04300138,-33.63140000
0.04333472,-39.68932000
0.04366807,-53.84991000
0.04400141,-66.22516000
0.04433475,-59.61790000
0.04466810,-64.14990000
0.04500144,-46.96798000
0.04533479,-41.53569000
0.04566813,-43.79406000
0.04600147,-45.62517000
0.04633482,-21.94281000
0.04666816,7.12607100
0.04700151,30.39643000
0.04733485,47.28843000
0.04766819,55.72679000
0.04800154,70.95554000
0.04833488,56.35242000
0.04866823,66.20990000
0.04900157,75.09079000
0.04933491,55.33005000
0.04966826,67.29331000
0.05000160,66.62190000
0.05033495,69.99420000
0.05066829,58.07672000
0.05100163,48.84487000
0.05133498,10.83407000
0.05166832,5.50859100
0.05200167,-9.14029300
0.05233501,-21.75970000
0.05266835,-26.00177000
0.05300170,-43.68724000
0.05333504,-37.72087000
0.05366839,-54.55183000
0.05400173,-39.53673000
0.05433507,-51.98828000
0.05466842,-36.98843000
0.05500176,-43.38206000
0.05533511,-34.15021000
0.05566845,-6.77510900
