Time,Channel A
(s),(mV)

0.00000000,-56.18457000
0.00033334,-47.24265000
0.00066669,-16.41896000
0.00100003,-1.96844400
0.00133338,7.70592300
0.00166672,29.66399000
0.00200006,40.00977000
0.00233341,45.35051000
0.00266675,32.99051000
0.00300010,30.48799000
0.00333344,37.75139000
0.00366678,34.40962000
0.00400013,38.42280000
0.00433347,33.34147000
0.00466682,32.79214000
0.00500016,18.67733000
0.00533350,6.82088700
0.00566685,-15.10666000
0.00600019,-35.88977000
0.00633354,-45.48784000
0.00666688,-60.01465000
0.00700022,-64.05834000
0.00733357,-61.31168000
0.00766691,-74.38886000
0.00800026,-75.22812000
0.00833360,-70.07050000
0.00866694,-78.95138000
0.00900029,-63.47850000
0.00933363,-57.74102000
0.00966698,-50.61494000
0.01000032,-50.15717000
0.01033366,-30.99154000
0.01066701,-6.10370200
0.01100035,7.23288600
0.01133370,8.17896000
0.01166704,24.44532000
0.01200038,34.57747000
0.01233373,34.68428000
0.01266707,22.78207000
0.01300042,38.48384000
0.01333376,29.99969000
0.01366710,38.36176000
0.01400045,32.91421000
0.01433379,26.30695000
0.01466714,15.13718000
0.01500048,6.79036800
0.01533382,-8.31629300
0.01566717,-21.66814000
0.01600051,-31.37303000
0.01633386,-44.81643000
0.01666720,-64.02782000
0.01700054,-84.53626000
0.01733389,-82.00323000
0.01766723,-74.98397000
0.01800058,-84.07848000
0.01833392,-90.41108000
0.01866726,-80.50783000
0.01900061,-80.06531000
0.01933395,-94.53107000
0.01966730,-82.12530000
0.02000064,-67.88842000
0.02033398,-54.96383000
0.02066733,-46.26606000
0.02100067,-33.57036000
0.02133402,1.35807400
0.02166736,15.44236000
0.02200070,15.41185000
0.02233405,37.09525000
0.02266739,48.32606000
0.02300074,35.14206000
0.02333408,40.10132000
0.02366742,38.23969000
0.02400077,51.77465000
0.02433411,34.34858000
0.02466746,21.60710000
0.02500080,4.37940600
0.02533414,-9.52177400
0.02566749,-15.68651000
0.02600083,-30.27436000
0.02633418,-49.27213000
0.02666752,-57.63420000
0.02700086,-75.15182000
0.02733421,-72.32886000
0.02766755,-81.95745000
0.02800090,-62.70028000
0.02833424,-82.61359000
0.02866758,-64.36353000
0.02900093,-71.35227000
0.02933427,-68.39198000
0.02966762,-51.57627000
0.03000096,-37.09525000
0.03033430,-35.44725000
0.03066765,-22.64473000
0.03100099,-18.05170000
0.03133434,-4.95925800
0.03166768,15.41185000
0.03200103,24.26221000
0.03233437,41.19999000
0.03266771,35.00473000
0.03300106,29.95392000
0.03333440,46.63228000
0.03366775,32.51747000
0.03400109,42.81747000
0.03433443,37.70562000
0.03466778,22.40059000
0.03500112,6.95822000
0.03533447,-8.68251500
0.03566781,-18.15851000
0.03600115,-31.58666000
0.03633450,-51.33213000
0.03666784,-60.77761000
0.03700119,-59.14487000
0.03733453,-71.73376000
0.03766787,-84.17004000
0.03800122,-95.33981000
0.03833456,-86.67256000
0.03866791,-104.31230000
0.03900125,-85.37553000
0.03933459,-71.99316000
0.03966794,-72.93923000
0.04000128,-69.21598000
0.04033463,-53.49894000
0.04066797,-29.16043000
0.04100131,-3.87585000
0.04133466,22.35481000
0.04166800,39.13999000
0.04200135,40.10132000
0.04233469,34.62325000
0.04266803,24.46058000
0.04300138,38.27021000
0.04333472,33.14310000
0.04366807,52.52235000
0.04400141,31.57140000
0.04433475,32.50221000
0.04466810,42.81747000
0.04500144,24.71999000
0.04533479,2.68562900
0.04566813,-18.18903000
0.04600147,-34.76058000
0.04633482,-42.92428000
0.04666816,-60.62502000
0.04700151,-70.03998000
0.04733485,-66.60664000
0.04766819,-71.96265000
0.04800154,-73.21390000
0.04833488,-71.10812000
0.04866823,-71.67272000
0.04900157,-57.80206000
0.04933491,-79.27183000
0.04966826,-69.75005000
0.05000160,-58.83968000
0.05033495,-41.50517000
0.05066829,-21.50029000
0.05100163,-7.88903400
0.05133498,8.71303500
0.05166832,11.96325000
0.05200167,12.29896000
0.05233501,24.17066000
0.05266835,36.82058000
0.05300170,46.81539000
0.05333504,34.48591000
0.05366839,43.88562000
0.05400173,37.96502000
0.05433507,31.34251000
0.05466842,13.84014000
0.05500176,6.79036800
0.05533511,-15.39659000
