Time,Channel A
(s),(mV)

0.00000000,-129.81050000
0.00033334,-143.75740000
0.00066669,-149.18970000
0.00100003,-164.37270000
0.00133338,-168.17220000
0.00166672,-173.61980000
0.00200006,-189.61150000
0.00233341,-194.38760000
0.00266675,-188.90960000
0.00300010,-206.64080000
0.00333344,-176.29020000
0.00366678,-177.55670000
0.00400013,-194.72330000
0.00433347,-175.38990000
0.00466682,-166.24960000
0.00500016,-131.91620000
0.00533350,-108.53910000
0.00566685,-101.12310000
0.00600019,-78.18842000
0.00633354,-73.93108000
0.00666688,-69.84161000
0.00700022,-75.13657000
0.00733357,-47.25791000
0.00766691,-76.23523000
0.00800026,-55.89465000
0.00833360,-59.45005000
0.00866694,-67.73582000
0.00900029,-74.12946000
0.00933363,-91.41819000
0.00966698,-113.81880000
0.01000032,-116.21450000
0.01033366,-133.30480000
0.01066701,-146.06160000
0.01100035,-155.98010000
0.01133370,-172.13960000
0.01166704,-177.29730000
0.01200038,-169.40820000
0.01233373,-177.46510000
0.01266707,-174.59640000
0.01300042,-168.03490000
0.01333376,-155.41550000
0.01366710,-177.95340000
0.01400045,-170.52220000
0.01433379,-155.93430000
0.01466714,-130.69550000
0.01500048,-129.45950000
0.01533382,-116.33650000
0.01566717,-92.79152000
0.01600051,-82.91879000
0.01633386,-62.80709000
0.01666720,-59.93835000
0.01700054,-70.11627000
0.01733389,-69.81109000
0.01766723,-66.20990000
0.01800058,-69.76531000
0.01833392,-66.11835000
0.01866726,-77.99004000
0.01900061,-91.58604000
0.01933395,-98.68159000
0.01966730,-110.27860000
0.02000064,-126.20930000
0.02033398,-147.83160000
0.02066733,-162.20590000
0.02100067,-172.33800000
0.02133402,-185.75090000
0.02166736,-184.25550000
0.02200070,-184.27070000
0.02233405,-206.54930000
0.02266739,-205.17590000
0.02300074,-192.72440000
0.02333408,-189.19950000
0.02366742,-203.69580000
0.02400077,-190.75590000
0.02433411,-181.75300000
0.02466746,-155.49180000
0.02500080,-140.30880000
0.02533414,-125.21740000
0.02566749,-106.84530000
0.02600083,-91.40293000
0.02633418,-71.94739000
0.02666752,-84.42945000
0.02700086,-87.13034000
0.02733421,-66.10309000
0.02766755,-80.66042000
0.02800090,-73.41227000
0.02833424,-61.58635000
0.02866758,-72.61878000
0.02900093,-84.18530000
0.02933427,-103.45770000
0.02966762,-119.69360000
0.03000096,-131.77890000
0.03033430,-146.04630000
0.03066765,-154.43890000
0.03100099,-178.77740000
0.03133434,-177.31250000
0.03166768,-181.76820000
0.03200103,-181.44780000
0.03233437,-191.51890000
0.03266771,-176.97680000
0.03300106,-187.97870000
0.03333440,-175.25250000
0.03366775,-174.82530000
0.03400109,-166.17330000
0.03433443,-153.37080000
0.03466778,-133.96100000
0.03500112,-126.74340000
0.03533447,-113.52880000
0.03566781,-111.10260000
0.03600115,-88.44263000
0.03633450,-89.66338000
0.03666784,-86.06219000
0.03700119,-75.48753000
0.03733453,-88.68678000
0.03766787,-63.78368000
0.03800122,-95.72130000
0.03833456,-81.63701000
0.03866791,-76.78456000
0.03900125,-91.44871000
0.03933459,-104.48010000
0.03966794,-122.05880000
0.04000128,-140.56830000
0.04033463,-151.24970000
0.04066797,-170.00330000
0.04100131,-177.89240000
0.04133466,-190.00820000
0.04166800,-196.27980000
0.04200135,-192.64810000
0.04233469,-209.75370000
0.04266803,-206.57980000
0.04300138,-209.81470000
0.04333472,-195.60840000
0.04366807,-198.03460000
0.04400141,-197.85150000
0.04433475,-194.05190000
0.04466810,-186.74270000
0.04500144,-145.23760000
0.04533479,-131.96200000
0.04566813,-122.91330000
0.04600147,-105.56350000
0.04633482,-91.63181000
0.04666816,-86.09271000
0.04700151,-79.04294000
0.04733485,-86.06219000
0.04766819,-88.18323000
0.04800154,-84.59730000
0.04833488,-90.82308000
0.04866823,-90.36530000
0.04900157,-95.47715000
0.04933491,-113.14740000
0.04966826,-130.28350000
0.05000160,-144.06260000
0.05033495,-160.32900000
0.05066829,-177.61770000
0.05100163,-180.01340000
0.05133498,-190.95430000
0.05166832,-200.47610000
0.05200167,-212.31730000
0.05233501,-189.79460000
0.05266835,-205.60320000
0.05300170,-190.03870000
0.05333504,-193.67050000
