Time,Channel A
(s),(mV)

0.00000000,28.33643000
0.00033334,56.03198000
0.00066669,76.20471000
0.00100003,87.17612000
0.00133338,87.96960000
0.00166672,90.74679000
0.00200006,91.89122000
0.00233341,106.29600000
0.00266675,94.68367000
0.00300010,90.82308000
0.00333344,99.13937000
0.00366678,83.25449000
0.00400013,59.43480000
0.00433347,43.03109000
0.00466682,13.01614000
0.00500016,-0.03051851
0.00533350,-13.61125000
0.00566685,-29.14518000
0.00600019,-33.26517000
0.00633354,-55.58946000
0.00666688,-58.99228000
0.00700022,-44.96902000
0.00733357,-64.71449000
0.00766691,-48.73806000
0.00800026,-53.43791000
0.00833360,-49.97406000
0.00866694,-27.11569000
0.00900029,-8.49940400
0.00933363,3.32651700
0.00966698,3.58592500
0.01000032,17.60918000
0.01033366,32.80740000
0.01066701,57.95465000
0.01100035,74.95345000
0.01133370,85.80278000
0.01166704,98.13226000
0.01200038,96.17908000
0.01233373,91.20457000
0.01266707,100.10070000
0.01300042,87.66441000
0.01333376,87.86279000
0.01366710,89.51079000
0.01400045,72.63405000
0.01433379,50.76754000
0.01466714,13.50444000
0.01500048,1.95318400
0.01533382,-11.82592000
0.01566717,-38.91110000
0.01600051,-49.59258000
0.01633386,-40.10132000
0.01666720,-56.44398000
0.01700054,-72.54249000
0.01733389,-68.48353000
0.01766723,-60.83864000
0.01800058,-59.95361000
0.01833392,-63.09701000
0.01866726,-62.92916000
0.01900061,-49.62309000
0.01933395,-40.39125000
0.01966730,-6.97347900
0.02000064,3.46385000
0.02033398,40.58961000
0.02066733,53.33109000
0.02100067,66.97286000
0.02133402,85.92486000
0.02166736,99.62767000
0.02200070,89.00723000
0.02233405,94.94308000
0.02266739,103.96130000
0.02300074,91.89122000
0.02333408,87.81701000
0.02366742,85.34501000
0.02400077,63.87524000
0.02433411,43.83984000
0.02466746,15.74755000
0.02500080,-0.68666640
0.02533414,-21.42399000
0.02566749,-30.61006000
0.02600083,-41.79509000
0.02633418,-47.42576000
0.02666752,-59.86205000
0.02700086,-59.17539000
0.02733421,-69.93316000
0.02766755,-50.05035000
0.02800090,-39.59776000
0.02833424,-61.96783000
0.02866758,-47.65465000
0.02900093,-24.01807000
0.02933427,-15.86962000
0.02966762,-10.55940000
0.03000096,17.97540000
0.03033430,44.26710000
0.03066765,58.77865000
0.03100099,69.44486000
0.03133434,75.89953000
0.03166768,102.37430000
0.03200103,96.51478000
0.03233437,78.03583000
0.03266771,101.99290000
0.03300106,89.89227000
0.03333440,83.66649000
0.03366775,72.72560000
0.03400109,69.49065000
0.03433443,43.90088000
0.03466778,15.47288000
0.03500112,2.39570300
0.03533447,-21.04251000
0.03566781,-39.53673000
0.03600115,-46.63228000
0.03633450,-61.95257000
0.03666784,-57.74102000
0.03700119,-66.86605000
0.03733453,-72.78664000
0.03766787,-68.60561000
0.03800122,-80.30946000
0.03833456,-63.43272000
0.03866791,-42.46650000
0.03900125,-29.60295000
0.03933459,-21.43925000
0.03966794,9.47599600
0.04000128,28.01599000
0.04033463,44.40443000
0.04066797,65.76738000
0.04100131,84.45997000
0.04133466,93.05093000
0.04166800,98.43745000
0.04200135,85.77226000
0.04233469,110.91950000
0.04266803,72.58826000
0.04300138,107.22680000
0.04333472,90.31953000
0.04366807,77.76115000
0.04400141,63.61583000
0.04433475,44.23658000
0.04466810,25.43718000
0.04500144,5.44755400
0.04533479,-9.21658900
0.04566813,-23.42295000
0.04600147,-43.25998000
0.04633482,-57.22220000
0.04666816,-60.67079000
0.04700151,-53.51420000
0.04733485,-51.08798000
0.04766819,-50.88961000
0.04800154,-53.11746000
0.04833488,-50.87435000
0.04866823,-28.41273000
0.04900157,-2.91451700
0.04933491,15.13718000
0.04966826,14.93881000
0.05000160,35.00473000
0.05033495,58.85494000
0.05066829,73.58012000
0.05100163,91.81493000
0.05133498,98.63582000
0.05166832,103.90030000
0.05200167,92.71523000
0.05233501,97.00307000
0.05266835,97.65923000
0.05300170,101.90130000
0.05333504,89.84649000
0.05366839,68.66664000
0.05400173,53.49894000
0.05433507,32.05969000
0.05466842,22.29377000
0.05500176,-3.21970200
0.05533511,-11.82592000
0.05566845,-29.11466000
0.05600179,-34.53169000
